Price,24H_Vol,MarketCap,Available Supply,Total Supply,Percent Change 1H,Percent Change 24H,Percent Change 7D,USD Sell,USD Buy,Average,Time,Sentiment,Prediction
4959.465732,21060321735,87388389925.0,17620525,17620525,-0.25,4.27,22.15,4935.49,4935.49,4935.49,19-04-03-11-01,0.131313159,4987.868
4959.465732,21060321735,87388389925.0,17620525,17620525,-0.25,4.27,22.15,4935.49,4935.49,4935.49,19-04-03-11-02,0.10466874,4987.691
4959.465732,21060321735,87388389925.0,17620525,17620525,-0.25,4.27,22.15,4938.22,4938.22,4938.22,19-04-03-11-03,0.12838075,4987.4106
4957.71957,20906082336,87357621627.0,17620525,17620525,-0.36,4.2,22.1,4938.22,4938.22,4938.22,19-04-03-11-04,0.126466769,4987.0693
4957.71957,20906082336,87357621627.0,17620525,17620525,-0.36,4.2,22.1,4939.53,4939.53,4939.53,19-04-03-11-05,0.133937714,4986.687
4958.776181,20914053776,87376239669.0,17620525,17620525,-0.34,4.23,22.13,4941.72,4941.72,4941.72,19-04-03-11-06,0.130803864,4986.278
4958.776181,20914053776,87376239669.0,17620525,17620525,-0.34,4.23,22.13,4944.79,4944.79,4944.79,19-04-03-11-07,0.113105378,4985.8467
4958.776181,20914053776,87376239669.0,17620525,17620525,-0.34,4.23,22.13,4944.79,4944.79,4944.79,19-04-03-11-08,0.107755583,4985.406
4962.471466,20927785860,87441352536.0,17620525,17620525,-0.3,4.29,22.21,4942.12,4942.12,4942.12,19-04-03-11-09,0.120456668,4984.989
4962.471466,20927785860,87441352536.0,17620525,17620525,-0.3,4.29,22.21,4942.6,4942.6,4942.6,19-04-03-11-10,0.12934232,4984.624
4965.332243,20926926941,87491760919.0,17620525,17620525,-0.26,4.33,22.28,4942.96,4942.96,4942.96,19-04-03-11-11,0.129040519,4984.319
4965.332243,20926926941,87491760919.0,17620525,17620525,-0.26,4.33,22.28,4943.61,4943.61,4943.61,19-04-03-11-12,0.129287101,4984.0664
4965.332243,20926926941,87491760919.0,17620525,17620525,-0.26,4.33,22.28,4943.61,4943.61,4943.61,19-04-03-11-13,0.127850042,4983.8677
4965.282357,20913042003,87490881899.0,17620525,17620525,-0.26,4.33,22.28,4943.33,4943.33,4943.33,19-04-03-11-14,0.121236286,4983.73
4965.282357,20913042003,87490881899.0,17620525,17620525,-0.26,4.33,22.28,4938.35,4938.35,4938.35,19-04-03-11-15,0.11824134900000001,4983.665
4964.669982,20907572770,87480091527.0,17620525,17620525,-0.28,4.32,22.26,4938.35,4938.35,4938.35,19-04-03-11-16,0.111052496,4983.6846
4964.669982,20907572770,87480091527.0,17620525,17620525,-0.28,4.32,22.26,4938.46,4938.46,4938.46,19-04-03-11-17,0.10881266699999999,4983.797
