Price,24H_Vol,MarketCap,Available Supply,Total Supply,Percent Change 1H,Percent Change 24H,Percent Change 7D,USD Sell,USD Buy,Average,Time,Sentiment
4966.563971,21070962883,87513464612,17620525,17620525,0.17,4.72,22.34,4943,4943,4943,19-04-03-10-29,0.110386889
4966.563971,21070962883,87513464612,17620525,17620525,0.17,4.72,22.34,4931.82,4931.82,4931.82,19-04-03-10-30,0.113576315
4966.31195,21061449228,87509023872,17620525,17620525,0.16,4.72,22.34,4937.6,4937.6,4937.6,19-04-03-10-31,0.113360001
4966.31195,21061449228,87509023872,17620525,17620525,0.16,4.72,22.34,4937.6,4937.6,4937.6,19-04-03-10-32,0.107095851
4962.778379,21060024502,87446760493,17620525,17620525,0.08,4.59,22.25,4941.67,4941.67,4941.67,19-04-03-10-33,0.108896182
4962.778379,21060024502,87446760493,17620525,17620525,0.08,4.59,22.25,4940.38,4940.38,4940.38,19-04-03-10-34,0.106013368
4962.778379,21060024502,87446760493,17620525,17620525,0.08,4.59,22.25,4941.76,4941.76,4941.76,19-04-03-10-35,0.09942422
4960.598287,21064820340,87408346129,17620525,17620525,0.04,4.54,22.19,4941.76,4941.76,4941.76,19-04-03-10-36,0.100580264
4960.598287,21064820340,87408346129,17620525,17620525,0.04,4.54,22.19,4940.62,4940.62,4940.62,19-04-03-10-37,0.100580264
4961.351374,21069918323,87421615911,17620525,17620525,0,4.51,22.21,4941.2,4941.2,4941.2,19-04-03-10-38,0.100580264
4961.351374,21069918323,87421615911,17620525,17620525,0,4.51,22.21,4942.32,4942.32,4942.32,19-04-03-10-39,0.101619869
4961.351374,21069918323,87421615911,17620525,17620525,0,4.51,22.21,4943.84,4943.84,4943.84,19-04-03-10-40,0.08634258
4962.328378,21072018636,87438831235,17620525,17620525,0.02,4.53,22.23,4947.72,4947.72,4947.72,19-04-03-10-41,0.073789414
4962.328378,21072018636,87438831235,17620525,17620525,0.02,4.53,22.23,4948.12,4948.12,4948.12,19-04-03-10-42,0.079031339
4963.914556,21084527651,87466780530,17620525,17620525,0.01,4.51,22.27,4947.85,4947.85,4947.85,19-04-03-10-43,0.092040239
4963.914556,21084527651,87466780530,17620525,17620525,0.01,4.51,22.27,4947.61,4947.61,4947.61,19-04-03-10-44,0.084864313
4963.914556,21084527651,87466780530,17620525,17620525,0.01,4.51,22.27,4947.96,4947.96,4947.96,19-04-03-10-45,0.084864313
4966.157537,21086201297,87506303037,17620525,17620525,0.06,4.55,22.32,4946.98,4946.98,4946.98,19-04-03-10-46,0.083475424
4966.157537,21086201297,87506303037,17620525,17620525,0.06,4.55,22.32,4943.67,4943.67,4943.67,19-04-03-10-47,0.07830791
4965.283355,21088148924,87490899497,17620525,17620525,0,4.48,22.3,4946.98,4946.98,4946.98,19-04-03-10-48,0.082003813
4965.283355,21088148924,87490899497,17620525,17620525,0,4.48,22.3,4943.94,4943.94,4943.94,19-04-03-10-49,0.086912596
4965.283355,21088148924,87490899497,17620525,17620525,0,4.48,22.3,4944.19,4944.19,4944.19,19-04-03-10-50,0.083232764
4965.305372,21092080530,87491287442,17620525,17620525,0,4.48,22.3,4941.68,4941.68,4941.68,19-04-03-10-51,0.074662688
4965.305372,21092080530,87491287442,17620525,17620525,0,4.48,22.3,4941.05,4941.05,4941.05,19-04-03-10-52,0.071638534
4964.083064,21076848737,87469749728,17620525,17620525,-0.09,4.41,22.26,4941.22,4941.22,4941.22,19-04-03-10-53,0.072283456
4964.083064,21076848737,87469749728,17620525,17620525,-0.09,4.41,22.26,4940.36,4940.36,4940.36,19-04-03-10-54,0.079850506
4964.083064,21076848737,87469749728,17620525,17620525,-0.09,4.41,22.26,4940.36,4940.36,4940.36,19-04-03-10-55,0.076976943
4963.234677,21074437575,87454800703,17620525,17620525,-0.1,4.4,22.24,4934.28,4934.28,4934.28,19-04-03-10-56,0.082925027
4963.234677,21074437575,87454800703,17620525,17620525,-0.1,4.4,22.24,4931.68,4931.68,4931.68,19-04-03-10-57,0.084151448
4961.469687,21061038978,87423700664,17620525,17620525,-0.21,4.32,22.2,4929.72,4929.72,4929.72,19-04-03-10-58,0.100748014
4961.469687,21061038978,87423700664,17620525,17620525,-0.21,4.32,22.2,4930.13,4930.13,4930.13,19-04-03-10-59,0.105974904
4961.469687,21061038978,87423700664,17620525,17620525,-0.21,4.32,22.2,4933.23,4933.23,4933.23,19-04-03-11-00,0.128572266
4959.465732,21060321735,87388389925,17620525,17620525,-0.25,4.27,22.15,4935.49,4935.49,4935.49,19-04-03-11-01,0.131313159
4959.465732,21060321735,87388389925,17620525,17620525,-0.25,4.27,22.15,4935.49,4935.49,4935.49,19-04-03-11-02,0.10466874
4959.465732,21060321735,87388389925,17620525,17620525,-0.25,4.27,22.15,4938.22,4938.22,4938.22,19-04-03-11-03,0.12838075
4957.71957,20906082336,87357621627,17620525,17620525,-0.36,4.2,22.1,4938.22,4938.22,4938.22,19-04-03-11-04,0.126466769
4957.71957,20906082336,87357621627,17620525,17620525,-0.36,4.2,22.1,4939.53,4939.53,4939.53,19-04-03-11-05,0.133937714
4958.776181,20914053776,87376239669,17620525,17620525,-0.34,4.23,22.13,4941.72,4941.72,4941.72,19-04-03-11-06,0.130803864
4958.776181,20914053776,87376239669,17620525,17620525,-0.34,4.23,22.13,4944.79,4944.79,4944.79,19-04-03-11-07,0.113105378
4958.776181,20914053776,87376239669,17620525,17620525,-0.34,4.23,22.13,4944.79,4944.79,4944.79,19-04-03-11-08,0.107755583
4962.471466,20927785860,87441352536,17620525,17620525,-0.3,4.29,22.21,4942.12,4942.12,4942.12,19-04-03-11-09,0.120456668
4962.471466,20927785860,87441352536,17620525,17620525,-0.3,4.29,22.21,4942.6,4942.6,4942.6,19-04-03-11-10,0.12934232
4965.332243,20926926941,87491760919,17620525,17620525,-0.26,4.33,22.28,4942.96,4942.96,4942.96,19-04-03-11-11,0.129040519
4965.332243,20926926941,87491760919,17620525,17620525,-0.26,4.33,22.28,4943.61,4943.61,4943.61,19-04-03-11-12,0.129287101
4965.332243,20926926941,87491760919,17620525,17620525,-0.26,4.33,22.28,4943.61,4943.61,4943.61,19-04-03-11-13,0.127850042
4965.282357,20913042003,87490881899,17620525,17620525,-0.26,4.33,22.28,4943.33,4943.33,4943.33,19-04-03-11-14,0.121236286
4965.282357,20913042003,87490881899,17620525,17620525,-0.26,4.33,22.28,4938.35,4938.35,4938.35,19-04-03-11-15,0.118241349
4964.669982,20907572770,87480091527,17620525,17620525,-0.28,4.32,22.26,4938.35,4938.35,4938.35,19-04-03-11-16,0.111052496
4964.669982,20907572770,87480091527,17620525,17620525,-0.28,4.32,22.26,4938.46,4938.46,4938.46,19-04-03-11-17,0.108812667
4964.669982,20907572770,87480091527,17620525,17620525,-0.28,4.32,22.26,4938.29,4938.29,4938.29,19-04-03-11-18,0.102111883
4959.969491,20890615501,87397266420,17620525,17620525,-0.35,4.21,22.14,4938.29,4938.29,4938.29,19-04-03-11-19,0.108375159
4959.969491,20890615501,87397266420,17620525,17620525,-0.35,4.21,22.14,4941.23,4941.23,4941.23,19-04-03-11-20,0.104840821
4959.94292,20884048637,87396798226,17620525,17620525,-0.35,4.21,22.14,4941.23,4941.23,4941.23,19-04-03-11-21,0.087987211
